Borough,Date,Rent,Year
Bronx,2020-09,1731.82,2020
Brooklyn,2020-09,2140.47,2020
Manhattan,2020-09,2871.58,2020
New York City,2020-09,2496.0,2020
Queens,2020-09,1859.7,2020
Staten Island,2020-09,,2020
Bronx,2020-10,1730.09,2020
Brooklyn,2020-10,2118.14,2020
Manhattan,2020-10,2837.39,2020
New York City,2020-10,2400.0,2020
Queens,2020-10,1852.87,2020
Staten Island,2020-10,1600.0,2020
Bronx,2020-11,1732.85,2020
Brooklyn,2020-11,2107.27,2020
Manhattan,2020-11,2783.36,2020
New York City,2020-11,2399.0,2020
Queens,2020-11,1856.58,2020
Staten Island,2020-11,1500.0,2020
Bronx,2020-12,1681.38,2020
Brooklyn,2020-12,2097.73,2020
Manhattan,2020-12,2789.58,2020
New York City,2020-12,2394.0,2020
Queens,2020-12,1847.83,2020
Staten Island,2020-12,,2020
Bronx,2021-01,1695.0,2021
Brooklyn,2021-01,2087.59,2021
Manhattan,2021-01,2780.83,2021
New York City,2021-01,2350.0,2021
Queens,2021-01,1834.81,2021
Staten Island,2021-01,1700.0,2021
Bronx,2021-02,1687.56,2021
Brooklyn,2021-02,2076.42,2021
Manhattan,2021-02,2876.72,2021
New York City,2021-02,2395.0,2021
Queens,2021-02,1835.29,2021
Staten Island,2021-02,1650.0,2021
Bronx,2021-03,1720.0,2021
Brooklyn,2021-03,2099.38,2021
Manhattan,2021-03,2876.92,2021
New York City,2021-03,2350.0,2021
Queens,2021-03,1804.42,2021
Staten Island,2021-03,1700.0,2021
Bronx,2021-04,1769.12,2021
Brooklyn,2021-04,2138.31,2021
Manhattan,2021-04,2951.36,2021
New York City,2021-04,2395.0,2021
Queens,2021-04,1832.32,2021
Staten Island,2021-04,1698.0,2021
Bronx,2021-05,1829.71,2021
Brooklyn,2021-05,2179.44,2021
Manhattan,2021-05,3034.61,2021
New York City,2021-05,2400.0,2021
Queens,2021-05,1859.68,2021
Staten Island,2021-05,1600.0,2021
Bronx,2021-06,1754.45,2021
Brooklyn,2021-06,2207.18,2021
Manhattan,2021-06,3144.36,2021
New York City,2021-06,2400.0,2021
Queens,2021-06,1882.68,2021
Staten Island,2021-06,1600.0,2021
Bronx,2021-07,1744.54,2021
Brooklyn,2021-07,2261.33,2021
Manhattan,2021-07,3225.92,2021
New York City,2021-07,2450.0,2021
Queens,2021-07,1886.12,2021
Staten Island,2021-07,1600.0,2021
Bronx,2021-08,1738.92,2021
Brooklyn,2021-08,2313.0,2021
Manhattan,2021-08,3295.22,2021
New York City,2021-08,2495.0,2021
Queens,2021-08,1906.72,2021
Staten Island,2021-08,1600.0,2021
Bronx,2021-09,1741.58,2021
Brooklyn,2021-09,2377.2,2021
Manhattan,2021-09,3400.56,2021
New York City,2021-09,2500.0,2021
Queens,2021-09,1956.57,2021
Staten Island,2021-09,1624.0,2021
Bronx,2021-10,1728.6,2021
Brooklyn,2021-10,2357.96,2021
Manhattan,2021-10,3532.89,2021
New York City,2021-10,2450.0,2021
Queens,2021-10,1956.23,2021
Staten Island,2021-10,1500.0,2021
Bronx,2021-11,1758.8,2021
Brooklyn,2021-11,2389.48,2021
Manhattan,2021-11,3636.19,2021
New York City,2021-11,2450.0,2021
Queens,2021-11,1971.86,2021
Staten Island,2021-11,1450.0,2021
Bronx,2021-12,1775.78,2021
Brooklyn,2021-12,2408.48,2021
Manhattan,2021-12,3719.72,2021
New York City,2021-12,2500.0,2021
Queens,2021-12,1995.08,2021
Staten Island,2021-12,1500.0,2021
Bronx,2022-01,1737.25,2022
Brooklyn,2022-01,2481.38,2022
Manhattan,2022-01,3765.14,2022
New York City,2022-01,2650.0,2022
Queens,2022-01,1985.58,2022
Staten Island,2022-01,1450.0,2022
Bronx,2022-02,1744.25,2022
Brooklyn,2022-02,2529.02,2022
Manhattan,2022-02,3825.51,2022
New York City,2022-02,2700.0,2022
Queens,2022-02,1982.04,2022
Staten Island,2022-02,1400.0,2022
Bronx,2022-03,1795.54,2022
Brooklyn,2022-03,2547.98,2022
Manhattan,2022-03,3889.26,2022
New York City,2022-03,2800.0,2022
Queens,2022-03,1993.37,2022
Staten Island,2022-03,1525.0,2022
Bronx,2022-04,1858.1,2022
Brooklyn,2022-04,2638.48,2022
Manhattan,2022-04,3915.86,2022
New York City,2022-04,3000.0,2022
Queens,2022-04,2037.44,2022
Staten Island,2022-04,1525.0,2022
Bronx,2022-05,1855.9,2022
Brooklyn,2022-05,2717.28,2022
Manhattan,2022-05,3933.97,2022
New York City,2022-05,3100.0,2022
Queens,2022-05,2087.92,2022
Staten Island,2022-05,1500.0,2022
Bronx,2022-06,1819.46,2022
Brooklyn,2022-06,2791.98,2022
Manhattan,2022-06,3934.31,2022
New York City,2022-06,3199.0,2022
Queens,2022-06,2138.0,2022
Staten Island,2022-06,1600.0,2022
Bronx,2022-07,1841.23,2022
Brooklyn,2022-07,2834.91,2022
Manhattan,2022-07,3996.42,2022
New York City,2022-07,3250.0,2022
Queens,2022-07,2177.93,2022
Staten Island,2022-07,1590.0,2022
Bronx,2022-08,1872.9,2022
Brooklyn,2022-08,2861.52,2022
Manhattan,2022-08,3922.47,2022
New York City,2022-08,3243.0,2022
Queens,2022-08,2236.24,2022
Staten Island,2022-08,1600.0,2022
Bronx,2022-09,1921.1,2022
Brooklyn,2022-09,2798.29,2022
Manhattan,2022-09,3910.25,2022
New York City,2022-09,3250.0,2022
Queens,2022-09,2210.37,2022
Staten Island,2022-09,1600.0,2022
Bronx,2022-10,1841.92,2022
Brooklyn,2022-10,2777.35,2022
Manhattan,2022-10,3880.54,2022
New York City,2022-10,3200.0,2022
Queens,2022-10,2215.29,2022
Staten Island,2022-10,1500.0,2022
Bronx,2022-11,1835.42,2022
Brooklyn,2022-11,2748.68,2022
Manhattan,2022-11,3871.5,2022
New York City,2022-11,3195.0,2022
Queens,2022-11,2194.52,2022
Staten Island,2022-11,1650.0,2022
Bronx,2022-12,1802.57,2022
Brooklyn,2022-12,2786.69,2022
Manhattan,2022-12,3833.2,2022
New York City,2022-12,3200.0,2022
Queens,2022-12,2193.85,2022
Staten Island,2022-12,1725.0,2022
Bronx,2023-01,1851.25,2023
Brooklyn,2023-01,2846.55,2023
Manhattan,2023-01,3911.28,2023
New York City,2023-01,3269.0,2023
Queens,2023-01,2154.19,2023
Staten Island,2023-01,1650.0,2023
Bronx,2023-02,1949.22,2023
Brooklyn,2023-02,2897.71,2023
Manhattan,2023-02,3967.19,2023
New York City,2023-02,3300.0,2023
Queens,2023-02,2190.48,2023
Staten Island,2023-02,1695.0,2023
Bronx,2023-03,1917.23,2023
Brooklyn,2023-03,2919.95,2023
Manhattan,2023-03,3972.22,2023
New York City,2023-03,3375.0,2023
Queens,2023-03,2182.79,2023
Staten Island,2023-03,1750.0,2023
Bronx,2023-04,1979.6,2023
Brooklyn,2023-04,2953.39,2023
Manhattan,2023-04,4047.94,2023
New York City,2023-04,3500.0,2023
Queens,2023-04,2244.12,2023
Staten Island,2023-04,1700.0,2023
