cd_name,cd_number,borough,pct_foreign_born,moe_foreign_born,lep_rate,moe_lep_rate,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,pct_hispanic,poverty_rate,moe_poverty_rate,pct_hh_rent_burd,moe_hh_rent_burd,pct_bach_deg,moe_bach_deg,unemployment,moe_unemployment,mean_commute,moe_mean_commute,crime_count,crime_per_1000
Manhattan Community District 12,112,Manhattan,46.7,1.3,37,1.4,19.5,7.2,3.2,1.60,68.5,19.5,1.7,43.3,1.6,33.9,1,6,0.6,41,1.7,1981,9.5
Queens Community District 1,401,Queens,39.1,0.9,23.3,0.9,46.4,8.5,15.3,2.90,26.9,16.7,1.3,37.6,1.4,44.4,0.9,4.2,0.4,40,1.1,1821,10.1
Queens Community District 2,402,Queens,53.4,1.2,38.7,1.6,26.7,3.8,35.5,2.60,31.4,14.8,1.3,41.5,1.8,38.4,1,3.3,0.4,37.6,1.4,954,6.4
Queens Community District 3,403,Queens,58.8,1,48.6,1.3,12.2,5,16.9,1.40,64.5,22.1,1.7,52.7,2,20.9,0.8,3.4,0.3,42.8,1.7,1456,7.8
Queens Community District 4,404,Queens,63.8,0.9,52.3,1.4,6.1,4.9,32.2,1.70,55.1,23.2,2,54,1.9,21.5,0.9,3.1,0.3,43.6,1.7,1209,5.9
Queens Community District 5,405,Queens,40,1,24.3,1,50.7,1.4,9.9,1.80,36.2,15.6,1.1,40.4,1.7,28.3,0.8,3.4,0.3,42.4,1.3,1320,7.0
Queens Community District 6,406,Queens,48.5,1.2,25.2,1.2,48.1,3.3,28,3.90,16.7,13.8,1.8,42.7,2.1,55.8,1.1,2.8,0.4,43.7,1.4,516,4.0
Queens Community District 7,407,Queens,56.3,0.8,52.4,1.3,25.9,2,52.2,2.20,17.7,22.9,1.4,56.7,1.8,26.8,0.7,2.5,0.2,41,1.2,1883,7.3
Queens Community District 8,408,Queens,47.6,1.1,28.2,1.4,27.8,12.1,34.7,4.70,20.7,18.9,1.5,48.5,2.3,38.3,1.1,5.2,0.5,44.3,1.6,1194,6.7
Queens Community District 9,409,Queens,51,0.9,26.4,1,17.3,5.8,27.4,8.10,41.4,19.6,1.6,47.8,1.9,26.5,0.8,4.3,0.3,46.4,1.4,712,4.4
Queens Community District 10,410,Queens,45.2,1.2,13.7,0.9,21.6,13.9,24,14.80,25.7,17,1.5,50,3.2,22.3,1.1,4.8,0.4,46.2,1.8,1148,8.3
Queens Community District 11,411,Queens,43.7,1,31.7,1.4,39.6,1.8,45.3,2.30,11,12.5,1.3,43.6,2.9,42.1,1.1,2.7,0.4,44.3,1.6,692,5.4
Queens Community District 12,412,Queens,43.2,0.8,15.4,0.9,2.6,59.5,14.2,7.40,16.3,17.1,1.1,47.1,1.7,22.5,0.7,5.9,0.4,48.6,1.4,2670,9.8
Queens Community District 13,413,Queens,42.4,0.9,13.1,0.8,10.7,55.6,15.6,5.60,12.5,10.8,1.1,43.5,2.5,29.6,0.8,4.4,0.3,47.4,1.4,1572,7.5
Queens Community District 14,414,Queens,26.7,1.3,12.5,1.2,34.2,35.8,3.8,2.30,23.9,16.6,2.1,42,2.5,29.8,1.4,5.1,0.7,51.1,2.9,1289,10.2
Staten Island Community District 1,501,Staten Island,25.4,1.1,12.4,0.8,38.8,20.3,9.2,2.90,28.8,11.9,1.3,50.7,2.5,31.7,1,2.9,0.4,43.6,1.8,1283,7.1
Staten Island Community District 2,502,Staten Island,28.5,1.1,13.8,1,66.3,4.1,13.2,2.40,14,12.4,1.6,44.8,3.5,32.8,1.2,2.8,0.3,43.8,1.8,597,4.1
Staten Island Community District 3,503,Staten Island,15.9,0.9,7,0.6,82.9,1.1,4.5,1.30,10.2,21.7,1.7,40.8,4,34.1,1.3,2.8,0.3,45.8,1.6,425,2.5
