cd_name,cd_number,borough,pop_2000,pop_2010,pop_estimate_acs,pop_change_00_10,pop_pct_female_under_5,pop_pct_female_5_9,pop_pct_female_10_14,pop_pct_female_15_19,pop_pct_female_20_24,pop_pct_female_25_29,pop_pct_female_30_34,pop_pct_female_35_39,pop_pct_female_40_44,pop_pct_female_45_49,pop_pct_female_50_54,pop_pct_female_55_59,pop_pct_female_60_64,pop_pct_female_65_69,pop_pct_female_70_74,pop_pct_female_75_79,pop_pct_female_80_84,pop_pct_female_85_over,pop_pct_male_under_5,pop_pct_male_5_9,pop_pct_male_10_14,pop_pct_male_15_19,pop_pct_male_20_24,pop_pct_male_25_29,pop_pct_male_30_34,pop_pct_male_35_39,pop_pct_male_40_44,pop_pct_male_45_49,pop_pct_male_50_54,pop_pct_male_55_59,pop_pct_male_60_64,pop_pct_male_65_69,pop_pct_male_70_74,pop_pct_male_75_79,pop_pct_male_80_84,pop_pct_male_85_over,under18_rate,moe_under18_rate,over65_rate,moe_over65_rate
Brooklyn Community District 15,315,Brooklyn,160319,159650,197678,0,3.5,2.9,2.5,2.2,2.5,3.7,3.4,3.4,3,3.1,3.3,3.6,3.6,3.2,2.4,1.7,1.4,2,3.9,3,3.2,2.6,2.9,3.6,3.2,2.9,3,3,3,3.2,3.2,2.9,1.8,1.5,0.9,1,22,0.7,18.7,0.5
Brooklyn Community District 16,316,Brooklyn,85343,86468,101022,0.01,3.4,2.7,3.1,3,3.5,5.1,4,4,4.1,4,4.5,3.3,3.2,2.5,1.7,1.4,1.3,0.9,3.5,3.2,3.5,3.4,3.6,4,3.1,2.7,2.3,2.8,2.7,2.7,2,1.6,1.2,0.9,0.3,0.4,23.6,1.6,12.4,0.6
Brooklyn Community District 17,317,Brooklyn,165753,155252,176485,-0.06,2.9,2.8,3,3,3.4,4.4,4,3.4,3.8,4,3.8,3.9,3.7,3.1,2.4,1.7,1.2,1.3,3,3,2.8,2.8,3.2,3.8,3.3,2.6,3.3,2.7,2.9,2.5,2.4,2,1.8,1.1,0.8,0.5,21.1,0.8,15.8,0.4
Brooklyn Community District 18,318,Brooklyn,194653,193543,227899,-0.01,3,3.1,3.4,3,3.3,3.7,3.6,3.3,3.6,3.5,3.9,3.9,3.9,3.2,2.1,1.4,1.1,1.3,3.4,3.1,3.3,3.2,3.1,3.4,2.9,2.7,2.9,2.8,2.8,3.1,2.8,2.4,1.5,1.1,0.6,0.6,23.3,0.7,15.3,0.4
Manhattan Community District 1,101,Manhattan,34420,60978,75100,0.77,3.6,2.2,1.4,1.7,3.9,6.3,6.6,5.3,4.2,3.3,2.4,2.3,2.3,1.7,1.3,0.6,0.7,1.1,3.7,2.6,1.9,1.4,3,5.4,6.1,5.3,4.6,3.7,2.7,2.4,2.2,1.5,1,0.7,0.3,0.6,16.7,1.1,9.5,0.7
Manhattan Community District 2,102,Manhattan,93119,90016,88480,-0.03,1.9,1.5,0.8,2.8,3.7,7.7,6.1,4,2.9,2.5,2.3,2.7,2.9,2.9,2.2,1.4,1,1.6,1.7,1,1.1,2,2.7,6,6.5,5.2,2.9,3.5,2.9,3,3.2,2.5,1.6,1.2,1,1.1,9.4,0.8,16.5,1
Manhattan Community District 3,103,Manhattan,164407,163277,154995,-0.01,1.5,1.2,1.5,2.9,4.2,6.4,4.1,3.2,3,3.2,2.8,3.3,3.4,2.9,2.1,1.6,1.6,2.1,1.5,1.6,1.8,2.5,3.7,6.2,5.6,3.9,2.9,3.3,3,2.8,2.5,2.3,2,1.3,1,1,11.4,0.8,17.9,0.7
Manhattan Community District 4,104,Manhattan,87479,103245,129797,0.18,2,0.9,1,1.1,3.9,6.7,6.8,3.9,3,2.9,2.2,2.9,2.9,2.3,2.3,1.8,0.6,1.1,1.7,1.1,1.1,1,3.2,6.6,7.1,5.1,4.9,4,3.8,3.6,3,2.3,1.3,1.1,0.7,0.4,8.8,0.7,13.8,0.8
Manhattan Community District 5,105,Manhattan,44028,51673,76405,0.17,1.9,1.3,0.8,3.1,4.9,8.3,6.2,4.5,2.9,2.5,2.8,3.1,2.5,2,1.6,1.1,0.9,1.1,1.6,0.8,0.8,1.4,3.4,7.5,7.2,4.4,3.5,3,2.8,3,2.2,2.5,1.5,1.2,0.8,0.8,8.4,1,13.6,0.9
Manhattan Community District 6,106,Manhattan,136152,142745,159623,0.05,1.8,1.2,0.9,2.1,4.8,8.4,5.5,3.7,3.1,2.5,3,2.6,3.2,2.9,2.8,1.8,1.3,1.6,1.9,1,1,1.2,4,7.1,5.7,3.9,2.7,3,2.4,2.9,2.2,2.5,1.8,1.3,1.1,1,9,0.9,18,0.8
Manhattan Community District 7,107,Manhattan,207699,209084,212034,0.01,2.6,2.3,2.1,1.5,2.6,4.7,5.2,4,4,3.4,3.5,3.5,3.6,3.8,3.2,1.8,1.3,1.9,2.8,1.8,1.8,1.4,1.4,4.1,4.3,3.4,3.2,3.3,3.3,2.7,3,2.7,2.3,1.1,0.9,1.3,15.2,0.8,20.4,0.7
Manhattan Community District 8,108,Manhattan,217063,219920,215449,0.01,2.4,2.3,1.6,1.1,2.3,7,6.9,4.2,3.2,3.3,3.3,3,2.9,3.5,3,2.5,1.6,1.8,2.9,1.9,1.8,1.3,1.5,3.6,4.7,3.9,2.8,3,3,2.7,2.5,2.4,1.9,1.6,1.2,1.4,14.6,0.9,20.8,0.7
Manhattan Community District 9,109,Manhattan,111724,110193,112573,-0.01,2.2,2.1,1.8,4.1,7,6.4,4.3,3.6,2.4,2.9,3.2,2.1,2.6,1.8,1.6,1.5,1.3,1.1,2.3,2.1,2.3,3.4,5.8,6.6,4.8,3.2,2.4,2.9,2.9,2.4,2.3,1.6,0.7,0.8,0.6,0.5,15.5,0.9,11.5,0.6
Manhattan Community District 10,110,Manhattan,107109,115723,147194,0.08,3.4,2.6,2.7,2.4,3.7,6.1,5.6,4.4,3.2,3.6,3.9,3.2,2.7,2,1.5,0.8,1,1.3,3.5,2.7,2.4,2.2,3.6,5.1,4.3,3.6,3.2,3.1,3.8,2.5,2.3,1.4,0.9,0.8,0.2,0.2,20.3,1,10.1,0.5
Manhattan Community District 11,111,Manhattan,117743,120511,128205,0.02,2.8,2.5,2.6,3.2,4,4.9,4.3,4.2,3.5,3.4,3.5,3.5,2.9,2.3,1.6,1.7,1.2,1.4,2.9,2.8,3.2,3.1,4,5.2,4.2,3.2,2.8,2.4,3.2,2.4,2.4,1.5,1,0.8,0.5,0.7,20.4,1.1,12.8,0.5
Manhattan Community District 12,112,Manhattan,208414,190020,208994,-0.09,2.6,2.3,2.1,2.4,3.6,5.6,4.8,3.7,3,3.2,3,3.1,3.1,2.5,2,1.6,1,1.6,2.7,2.4,2.4,2.3,3.9,6.1,5.2,4,3.3,3.1,2.9,2.8,2.3,2,1.3,1,0.7,0.6,17.1,0.8,14.2,0.5
Queens Community District 1,401,Queens,211220,191105,179467,-0.1,2.1,1.8,1.7,1.8,3.4,7.1,6.2,4.1,2.8,2.8,2.9,2.7,2.3,2.4,1.7,1.3,0.9,1.2,2.5,2,1.9,2.1,3.5,7.2,6.5,5.2,3.6,3.4,3,2.6,2.3,1.7,1.3,1,0.6,0.5,14.1,0.7,12.6,0.5
Queens Community District 2,402,Queens,109920,113200,148787,0.03,2.8,2.3,1.9,2.1,2.5,5.1,4.9,4.5,3.9,3.4,2.7,3,2.7,2.2,1.7,1.4,0.9,1,2.8,2.3,2.5,1.8,2.8,4.9,5.1,5.3,5.3,4.1,3.5,2.8,2.5,1.9,1.5,1.1,0.6,0.3,17.2,0.9,12.6,0.6
Queens Community District 3,403,Queens,169083,171576,186791,0.01,3.6,2.9,2.7,2.5,3,3.9,4.2,4,3.4,3.2,3,2.7,2.5,2.4,2,1.1,1,1.1,3.7,2.8,3.2,2.6,3.1,4.1,4.8,4.7,4.5,4,3.4,3.1,2,1.8,1.2,1,0.6,0.5,22.1,0.8,12.8,0.6
Queens Community District 4,404,Queens,167005,172598,206053,0.03,3.6,3.1,3.1,2.4,3.1,4.2,4.1,3.7,3.4,3.1,2.9,2.7,2.8,2.1,1.7,1.2,0.8,1,3.6,3.3,3,2.9,3.4,4.7,4.7,4.2,4.4,3.7,3.3,2.7,2.4,1.8,1.3,0.9,0.5,0.4,23.1,0.9,11.6,0.5
Queens Community District 5,405,Queens,165911,169190,189000,0.02,3.1,2.8,3.3,2.5,2.9,3.9,4.2,4.3,3.2,3.7,3.3,3.4,3.1,2.2,1.4,1.4,1.1,1.2,3.1,3.3,2.7,2.9,3.2,4,4.2,4,3.4,3.5,3.6,3.3,2.6,1.8,1.2,0.9,0.5,0.6,21.9,0.8,12.4,0.4
Queens Community District 6,406,Queens,115967,113257,128579,-0.02,2.9,2.9,2,1.5,1.9,3.6,4.3,4.3,3.7,3.4,3.4,4.2,3.9,3.4,2.7,2,1.8,2.2,3.6,2.1,1.9,1.4,1.9,3.3,4.2,3.3,3.2,3.1,2.9,3.7,3.2,3,1.8,1.4,1,1,17.2,0.8,20.3,0.6
Queens Community District 7,407,Queens,242952,247354,259477,0.02,2.7,2.3,2.3,1.9,2.9,3.8,3.5,3.2,3.5,3.9,4.1,3.9,3.5,3,2.2,2.1,1.6,2,3.1,2.2,2.4,2.2,2.4,3.5,3.3,3.2,3.2,3.5,3.9,3.4,3.1,2.6,2.1,1.5,1.2,1,17.6,0.6,19.2,0.5
Queens Community District 8,408,Queens,146594,151107,179066,0.03,3.6,2.5,2.6,3.3,3.4,4.1,3.6,3.3,3.3,3.2,3.4,3.6,3.9,2.7,1.7,1.4,1.1,1.2,3.5,2.9,2.6,3.2,3.5,3.6,4.1,2.8,3.2,2.9,2.8,3.5,3,2.3,1.7,1,0.9,0.7,20.8,0.9,14.7,0.5
Queens Community District 9,409,Queens,141608,143317,162663,0.01,3.1,2.7,2.6,3.1,3.9,4.1,3.4,3.4,3.4,3.6,3.6,3.7,2.9,2.4,1.6,1.1,0.7,1,3.4,3.1,3.2,3.3,3.6,4.5,3.8,3.4,3.2,3.8,3.4,3.3,2.8,1.9,1.3,0.9,0.5,0.5,22,0.7,11.9,0.4
Queens Community District 10,410,Queens,127274,122396,138765,-0.04,2.7,2.5,3.1,2.9,4,3.8,3.2,3.1,3.4,3.7,3.8,4.1,3.2,2.7,1.7,1.5,0.9,1.2,3.1,2.3,3.3,3,3.2,3.8,3,3,3.2,3.4,4,3.7,3.2,2.1,1.4,1.3,0.7,0.6,20.7,0.9,14.2,0.6
Queens Community District 11,411,Queens,116404,116431,128135,0,2.3,2.1,2.5,2.3,2.2,3.1,3.1,3.1,3.7,3.6,4.4,3.9,3.7,3.5,2.4,1.9,1.4,2.1,3,2.5,2.7,2.5,2.2,3.2,2.8,3.3,3,3.4,3.9,3.8,3.3,3.3,2.2,1.6,1.1,1.2,18.2,0.8,20.7,0.6
Queens Community District 12,412,Queens,223602,225919,272534,0.01,3.1,2.9,2.9,3.1,3.5,4.1,3.6,3.6,3.3,3.7,4,3.8,3.2,2.7,1.9,1.4,1,1.3,3.3,2.8,3.5,3,3.5,4.1,3.5,3,2.8,3,3.4,3.2,2.7,1.9,1.2,0.9,0.5,0.5,22.5,0.7,13.3,0.4
Queens Community District 13,413,Queens,196284,188593,208220,-0.04,3,2.6,2.6,2.8,3.2,3.8,3.3,3.2,3.2,3.7,4.2,4,3.7,2.9,2.3,1.7,1.3,1.5,2.9,2.7,2.7,2.7,3.4,3.5,3.4,3,2.8,3,3.4,3.4,3.1,2.2,2.1,1.2,0.7,0.6,19.9,0.7,16.6,0.4
Queens Community District 14,414,Queens,106686,114978,125898,0.08,4.2,4,3.5,2.7,3.2,3.5,3.5,3.3,3,3.5,3.9,3.4,2.9,2.6,1.9,1.3,1,1.2,4.5,4,3.3,3.3,3,3.6,2.6,2.6,1.8,2.9,3.2,3.6,2.9,2.1,1.3,1,0.9,0.8,27.2,1.3,14.1,0.6
Staten Island Community District 1,501,Staten Island,162609,175756,181185,0.08,2.9,2.9,3.2,3.3,3.4,3.8,3.3,3.4,3.5,3.4,3.6,3.5,3.3,2.6,1.9,1.3,0.9,0.9,3.3,3.5,3.1,3.6,3.6,3.9,3.4,3,3,3.1,3.4,3.2,3,2.5,1.2,0.9,0.7,0.5,23.2,1,13.3,0.4
Staten Island Community District 2,502,Staten Island,127071,132003,145127,0.04,2.9,3,3.2,2.8,3,3.3,3.2,3,3.3,3.7,4,3.7,3.6,2.8,2.3,1.7,1.3,1.7,2.7,3.2,2.9,2.9,2.8,3.4,3.2,2.5,3.4,3.4,3.5,3.3,3.2,2.6,1.7,1.2,0.8,0.7,21.5,0.8,17,0.5
Staten Island Community District 3,503,Staten Island,152908,160209,167460,0.05,2.7,2.5,3.4,2.9,3,3.1,3,2.9,3.5,3.8,3.9,4,3.5,2.8,2.7,1.8,1,1.4,2.7,3.1,3.1,3.1,3,3.1,2.9,2.9,3.5,3.5,3.6,3.5,3.1,2.5,2.1,1.3,0.8,0.6,21.3,0.7,17,0.5
